SKU,Descripcion,Material,Precio_EUR,Alto,Diametro,Capacidad,foto
H.PIA.EVA7,Eva small plate Royal Blue,Melamina,"10,50",,23 cm,,evablu-frutta-2508.jpg
H.PIA.EVA13,Eva medium plate Ivory,Melamina,"13,00",,27 cm,,evaavo-medio-2513.jpg
H.PIA.EVA12,Eva medium plate Grey,Melamina,"13,00",,27 cm,,evagrigio-medio-2504.jpg
H.PIA.EVA10,Eva medium plate Red,Melamina,"13,00",,27 cm,,evarosso-medio-2510.jpg
H.PIA.EVA11,Eva medium plate Royal Blue,Melamina,"13,00",,27 cm,,evablu-medio-2507.jpg
H.PIA.EVA1,Eva tray ivory/grey,Melamina,"45,00",,40 cm,,evaavo-vassoio-2632.jpg
H.PIA.LAP4,Lapislazzulo underplate,Melamina,"21,78",,,,lapislzzulo-sottopiatto-2501.jpg
H.PIA.MAR2,Marinella soup plate Orange,Melamina,"10,12",,19 cm,,marinellaarancio-fondo-2518.jpg
H.PIA.MAR1,Marinella soup plate Ivory,Melamina,"10,12",,19 cm,,marinellaavorio-fondo-2521.jpg
H.PIA.MAR3,Marinella soup plate Turquoise,Melamina,"10,12",,19 cm,,marinellaturchese-fondo-2524.jpg
H.PIA.MAR4,Marinella soup plate Green,Melamina,"10,12",,19 cm,,marinellaverde-fondo-2527.jpg
H.PIA.MAR7,Marinella small plate Orange,Melamina,"10,12",,23 cm,,marinellaarancio-frutta-2517.jpg
H.PIA.MAR6,Marinella small plate Ivory,Melamina,"10,12",,23 cm,,marinellaavorio-frutta-2520.jpg
H.PIA.MAR10,Marinella small plate Red,Melamina,"10,12",,23 cm,,marinellarosso-frutta-2529.jpg
H.PIA.MAR8,Marinella small plate Turquoise,Melamina,"10,12",,23 cm,,marinellaturchese-frutta-2523.jpg
H.PIA.MAR9,Marinella small plate Green,Melamina,"10,12",,23 cm,,marinellaverde-frutta-2526.jpg
H.PIA.MAR12,Marinella medium plate Orange,Melamina,"12,65",,27 cm,,marinellaarancio-medio-2516.jpg
H.PIA.MAR11,Marinella medium plate Ivory,Melamina,"12,65",,27 cm,,marinellaavorio-medio-2519.jpg
H.PIA.MAR15,Marinella medium plate Red,Melamina,"12,65",,27 cm,,marinellarosso-medio-2528.jpg
H.PIA.MAR13,Marinella medium plate Turquoise,Melamina,"12,65",,27 cm,,marinellaturchese-medio-2522.jpg
H.PIA.MAR14,Marinella medium plate Green,Melamina,"12,65",,27 cm,,marinellaverde-medio-2525.jpg
H.PIA.PAN25,Lillybet soup plate,Melamina,"10,12",,19 cm,,lillybet-fondo-2453.jpg
H.PIA.PAN26,Lillybet small plate,Melamina,"10,12",,23 cm,,lillybet-frutta-2454.jpg
H.PIA.PAN27,Lillybet medium plate,Melamina,"12,65",,27 cm,,lillybet-medio-2455.jpg
H.PIA.PAN28,Lillybet underplate,Melamina,"21,78",,,,lillybetsottopiatti-bianco-2456.jpg
H.PIA.PAN2,Pancale soup plate orange,Melamina,"10,12",,19 cm,,pancale-arancio-fondo-2300.jpg
H.PIA.PAN1,Pancale soup plate white,Melamina,"10,12",,19 cm,,pancale-bianco-fondo-2303.jpg
H.PIA.PAN21,Pancale soup plate blue,Melamina,"10,12",,19 cm,,pancaleblu-fondo-2451.jpg
H.PIA.PAN5,Pancale soup plate yellow,Melamina,"10,12",,19 cm,,pancal-giallo-fondo-2306.jpg
H.PIA.PAN3,Pancale soup plate turquoise,Melamina,"10,12",,19 cm,,pancale-turchese-fondo-2309.jpg
H.PIA.PAN4,Pancale soup plate green,Melamina,"10,12",,19 cm,,pancale-verde-fondo-2312.jpg
H.PIA.PAN7,Pancale small plate orange,Melamina,"10,12",,23 cm,,pancale-arancio-frutta-2301.jpg
H.PIA.PAN6,Pancale small plate white,Melamina,"10,12",,23 cm,,pancale-bianco-frutta-2304.jpg
H.PIA.PAN22,Pancale small plate blue,Melamina,"10,12",,23 cm,,pancaleblu-frutta-2450.jpg
H.PIA.PAN10,Pancale small plate yellow,Melamina,"10,12",,23 cm,,pancal-giallo-frutta-2307.jpg
H.PIA.PAN8,Pancale small plate turquoise,Melamina,"10,12",,23 cm,,pancale-turchese-frutta-2310.jpg
H.PIA.PAN9,Pancale small plate green,Melamina,"10,12",,23 cm,,pancale-verde-frutta-2313.jpg
H.PIA.PAN12,Pancale medium plate orange,Melamina,"12,65",,27 cm,,pancale-arancio-medio-2302.jpg
H.PIA.PAN11,Pancale medium plate white,Melamina,"12,65",,27 cm,,pancale-bianco-medio-2305.jpg
H.PIA.PAN23,Pancale medium plate blue,Melamina,"12,65",,27 cm,,pancaleblu-medio-2449.jpg
H.PIA.PAN15,Pancale medium plate yellow,Melamina,"12,65",,27 cm,,pancal-giallo-medio-2308.jpg
H.PIA.PAN13,Pancale medium plate turquoise,Melamina,"12,65",,27 cm,,pancale-turchese-medio-2311.jpg
H.PIA.PAN14,Pancale medium plate green,Melamina,"12,65",,27 cm,,pancale-verde-medio-2314.jpg
H.PIA.PAN16,Pancale underplate white,Melamina,"21,78",,,,pancale-sottopiatti-bianco-2315.jpg
H.PIA.PAN24,Pancale underplate blue,Melamina,"21,78",,,,pancale-sottopiatti-blu-2452.jpg
H.PIA.PAN20,Pancale underplate yellow,Melamina,"21,78",,,,pancale-sottopiatti-giallo-2316.jpg
H.PIA.PAN18,Pancale underplate turquoise,Melamina,"21,78",,,,pancale-sottopiatti-turchese-2319.jpg
H.PIA.PAT5,Patagonia soup plate yellow,Melamina,"10,12",,19 cm,,patagonia-giallo-fondo-2187.jpg
H.PIA.PAT3,Patagonia soup plate green,Melamina,"10,12",,19 cm,,patagonia-verde-fondo-2193.jpg
